label,pixels,counter
background,2639.0,22.0
bicycle,0.0,0.0
boat,823.0,9.0
breakwater,113.0,1.0
bridge,334.0,3.0
building,1726.0,15.0
bus,0.0,0.0
canal,0.0,0.0
car,331.0,2.0
cliff,1474.0,12.0
culvert,0.0,0.0
cypress_tree,76.0,1.0
dam,0.0,0.0
ditch,0.0,0.0
fence,1031.0,8.0
fire_hydrant,0.0,0.0
fjord,294.0,4.0
flood,388.0,3.0
glaciers,1060.0,10.0
hot_spring,0.0,0.0
lake,1306.0,7.0
levee,232.0,2.0
lighthouse,383.0,3.0
mangrove,550.0,3.0
marsh,407.0,2.0
motorcycle,0.0,0.0
offshore_platform,0.0,0.0
parking_meter,0.0,0.0
person,1069.0,11.0
pier,251.0,3.0
pipeline,0.0,0.0
pole,1057.0,8.0
puddle,240.0,3.0
rapids,448.0,3.0
reservoir,225.0,2.0
river,1048.0,11.0
river_delta,0.0,0.0
road,226.0,3.0
sea,1889.0,15.0
ship,0.0,0.0
shoreline,544.0,5.0
sidewalk,415.0,3.0
sky,5850.0,47.0
snow,1258.0,9.0
spillway,0.0,0.0
swimming_pool,0.0,0.0
terrain,4241.0,33.0
traffic_sign,242.0,2.0
train,0.0,0.0
truck,126.0,1.0
umbrella,0.0,0.0
vegetation,4530.0,34.0
wall,374.0,3.0
water_tower,0.0,0.0
water_well,0.0,0.0
waterfall,195.0,3.0
wetland,425.0,4.0
