label,pixels,counter
background,1492.0,12.0
bicycle,0.0,0.0
boat,1372.0,11.0
breakwater,152.0,2.0
bridge,478.0,3.0
building,1131.0,13.0
bus,0.0,0.0
canal,0.0,0.0
car,15.0,1.0
cliff,1658.0,14.0
culvert,0.0,0.0
cypress_tree,239.0,1.0
dam,0.0,0.0
ditch,0.0,0.0
fence,592.0,6.0
fire_hydrant,0.0,0.0
fjord,761.0,6.0
flood,427.0,3.0
glaciers,841.0,8.0
hot_spring,0.0,0.0
lake,194.0,1.0
levee,376.0,2.0
lighthouse,349.0,3.0
mangrove,480.0,3.0
marsh,602.0,4.0
motorcycle,0.0,0.0
offshore_platform,200.0,1.0
parking_meter,0.0,0.0
person,669.0,7.0
pier,662.0,5.0
pipeline,0.0,0.0
pole,595.0,5.0
puddle,677.0,4.0
rapids,957.0,6.0
reservoir,0.0,0.0
river,1826.0,15.0
river_delta,0.0,0.0
road,646.0,4.0
sea,1823.0,13.0
ship,0.0,0.0
shoreline,446.0,5.0
sidewalk,626.0,3.0
sky,6126.0,45.0
snow,1751.0,14.0
spillway,0.0,0.0
swimming_pool,0.0,0.0
terrain,3698.0,28.0
traffic_sign,250.0,2.0
train,0.0,0.0
truck,377.0,2.0
umbrella,0.0,0.0
vegetation,4758.0,37.0
wall,411.0,3.0
water_tower,0.0,0.0
water_well,0.0,0.0
waterfall,418.0,3.0
wetland,513.0,4.0
